;AE;AE;AE;VAE;VAE;VAE
;Un punto;Mitad de ventana;Ventana;Un punto;Mitad de ventana;Ventana
1.1% anomalías, Senoidal Simple ;0,7304060896825164;0,748298506801889;0,7532925265263715;0,5293878348846274;0,31335211258675233;0,3718079023629431
1.1% anomalías, Senoidal Simple (ruido 2.5%);0,7325820566236924;0,748298506801889;0,7436286306781129;0,49287121768720465;0,31662609039448947;0,40242761893924334
1.1% anomalías, Senoidal Simple (ruido 5%);0,7097650416999105;0,7284487468083721;0,7250163217488418;0,4256512604123086;0,3238660456860719;0,38048550191068986
1.1% anomalías, Senoidal Simple (ruido 10%);0,6812751555809017;0,7014501212885357;0,7017708142369614;0,3482950139795381;0,2989454104777607;0,3843057955850278
1.1% anomalías, Senoidal Simple (ruido 20%);0,6355358498283664;0,6554566326236713;0,6530575499475584;0,2647464442474404;0,2790091253973989;0,35295639215684743
2% anomalías, Senoidal Simple ;0,46269141996307583;0,46260191200328366;0,4497946604203519;0,20746064782024368;0,1540128547678564;0,15856362755987724
2% anomalías, Senoidal Simple (ruido 2.5%);0,46269141996307583;0,46260191200328366;0,4497946604203519;0,19556533490993352;0,16910825952986017;0,1682972971715665
2% anomalías, Senoidal Simple (ruido 5%);0,46269141996307583;0,46260191200328366;0,4497946604203519;0,1788972323702416;0,15096244071691595;0,18817731251059178
2% anomalías, Senoidal Simple (ruido 10%);0,46269141996307583;0,46260191200328366;0,4497946604203519;0,15107998186134777;0,16521210268673284;0,15135897353151312
2% anomalías, Senoidal Simple (ruido 20%);0,44529496492468995;0,45811376682309174;0,4425959882637611;0,0817457647422614;0,0995119318277993;0,14069355096981503
1.1% anomalías, Senoidal Combinada ;0,6674919105660984;0,6759329622204782;0,67289980095692;0,1325228003364513;0,10743867213251017;0,18763994164436368
1.1% anomalías, Senoidal Combinada (ruido 2.5%);0,6674919105660984;0,6759329622204782;0,67289980095692;0,13123731342436437;0,09639374279308777;0,19898584403130226
1.1% anomalías, Senoidal Combinada (ruido 5%);0,6603644937843705;0,6751347295295715;0,67289980095692;0,1426003438106769;0,10085834202682474;0,20391396480543864
1.1% anomalías, Senoidal Combinada (ruido 10%);0,6253600202861769;0,6387381133021096;0,6405193123811193;0,08696018092990443;0,09106478951104253;0,19346334653377345
1.1% anomalías, Senoidal Combinada (ruido 20%);0,5824225156667945;0,5987287949722974;0,6039043338505596;0,08794866821578727;0,06306641714473006;0,11396440659530037
2% anomalías, Senoidal Combinada ;0,4848175399259214;0,48190236594700564;0,4516638657689136;0,055354132261234035;0,10553074637501003;0,14899899665050864
2% anomalías, Senoidal Combinada (ruido 2.5%);0,4848175399259214;0,47764838512702235;0,4641533030635127;0,06009297426845347;0,09872608384155117;0,17675173525375984
2% anomalías, Senoidal Combinada (ruido 5%);0,4848175399259214;0,48190236594700564;0,46337736548533065;0,05933217196374686;0,10743857927144027;0,16823180664998716
2% anomalías, Senoidal Combinada (ruido 10%);0,48437559607497915;0,48190236594700564;0,469270631369437;0,04710584628520163;0,0750422016705912;0,14820473399361742
2% anomalías, Senoidal Combinada (ruido 20%);0,4506891432132404;0,44393600763872865;0,434070462550814;0,031523901864384835;0,060178971357579665;0,1439912236863381
