;serie;Capa Intermedia;Bottleneck;MCC
promedio;Grillo-Ballena, 1%;15;10;0,6249699591258496
promedio;Grillo-Ballena, 2%;20;10;0,6743522452467184
promedio;Grillo-Ballena, 3%;25;10;0,3948804507028741
promedio;Grillo-Ballena, 5%;15;5;0,5686492851771295
promedio;Grillo-Ballena, 7%;20;15;0,7946440742802213
promedio;Grillo-Ballena, 10%;25;10;0,4636783958862553
mejor caso;Grillo-Ballena, 1%;25;15;0,7605608086071737
mejor caso;Grillo-Ballena, 2%;20;15;0,7963976476119322
mejor caso;Grillo-Ballena, 3%;15;5;0,5063885788986897
mejor caso;Grillo-Ballena, 5%;20;5;0,6644069968118659
mejor caso;Grillo-Ballena, 7%;20;15;0,8950327010058015
mejor caso;Grillo-Ballena, 10%;20;15;0,5427461289396909
general;general;20;10;0,5796364244960716
